id,applicant_id,body,pinned,created_at
1,5,Prefers text over calls.,true,2026-06-23T13:16:00.000Z
2,1,Outside the service area with no plans to relocate.,false,2026-06-23T19:19:00.000Z
3,8,Resume shows three years of home care. Worth a call.,false,2026-06-29T16:54:00.000Z
4,9,Short gaps between roles; ask about availability on the call.,false,2026-06-29T17:11:00.000Z
5,13,Prefers text over calls.,true,2026-06-29T17:37:00.000Z
6,12,No caregiving or personal care experience listed.,false,2026-06-29T17:44:00.000Z
7,8,Wants 30+ hours a week. Can start in two weeks.,false,2026-06-29T19:10:59.000Z
8,12,Only available weekends. Check before scheduling.,true,2026-06-29T19:30:00.000Z
9,10,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-06-29T19:32:00.000Z
10,5,No phone number on file and no reply to two emails.,false,2026-06-30T14:57:00.000Z
11,3,Signed offer. TB test and paperwork scheduled.,false,2026-06-30T16:10:00.000Z
12,7,In-person interview booked at the office.,false,2026-07-01T17:16:46.000Z
13,13,Stopped responding after the phone screen.,false,2026-07-02T15:53:00.000Z
14,9,Did not complete the background check paperwork.,false,2026-07-03T20:24:00.000Z
15,7,Client's family met them and asked to move forward.,false,2026-07-06T16:06:00.000Z
16,16,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-07-06T17:28:00.000Z
17,15,Going back to school full time this semester.,false,2026-07-06T18:05:00.000Z
18,14,No phone number on file and no reply to two emails.,false,2026-07-07T19:24:00.000Z
19,7,Signed offer. TB test and paperwork scheduled.,false,2026-07-10T13:07:00.000Z
20,20,Applied for an office role; this posting is in-home care.,false,2026-07-13T17:12:00.000Z
21,19,Applied for an office role; this posting is in-home care.,false,2026-07-13T19:32:00.000Z
22,18,Applied for an office role; this posting is in-home care.,false,2026-07-13T20:59:00.000Z
23,23,Applied for an office role; this posting is in-home care.,false,2026-07-15T17:23:00.000Z
24,22,Resume shows three years of home care. Worth a call.,false,2026-07-16T20:20:00.000Z
25,30,Outside the service area with no plans to relocate.,false,2026-07-21T18:39:00.000Z
26,27,Schedule no longer works with childcare.,false,2026-07-21T18:55:48.000Z
27,31,STNA listed on the resume; verify on the phone screen.,false,2026-07-24T14:28:00.000Z
28,33,Outside the service area with no plans to relocate.,false,2026-07-24T20:23:00.000Z
29,35,Needs shifts that end by 3pm for school pickup.,true,2026-07-24T20:23:00.000Z
30,35,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-07-27T15:13:00.000Z
31,34,Available weekdays 7a to 3p. Has own car and a clean driving record.,false,2026-07-28T16:40:06.000Z
32,31,Wants 30+ hours a week. Can start in two weeks.,false,2026-07-28T17:51:24.000Z
33,29,No response after four call attempts.,false,2026-07-31T17:53:00.000Z
34,26,Stopped responding after the phone screen.,false,2026-07-31T20:23:00.000Z
35,31,Interview set; asked them to bring their certifications.,false,2026-07-31T21:01:31.000Z
36,38,Needs shifts that end by 3pm for school pickup.,true,2026-08-03T14:42:00.000Z
37,39,Outside the service area with no plans to relocate.,false,2026-08-03T15:37:00.000Z
38,42,Indicated they are under 18. Not eligible for in-home care roles.,false,2026-08-04T15:30:00.000Z
39,45,Accepted a position closer to home.,false,2026-08-06T14:12:00.000Z
40,47,No caregiving or personal care experience listed.,false,2026-08-06T14:48:00.000Z
41,37,Going back to school full time this semester.,false,2026-08-07T13:54:01.000Z
42,46,No caregiving or personal care experience listed.,false,2026-08-07T14:15:00.000Z
43,49,Applied for an office role; this posting is in-home care.,false,2026-08-07T19:15:00.000Z
44,31,Did not show for the scheduled interview.,false,2026-08-10T16:17:00.000Z
45,43,Cannot cover any of the open shifts.,false,2026-08-10T16:26:08.000Z
46,51,No caregiving or personal care experience listed.,false,2026-08-10T16:58:00.000Z
47,54,STNA listed on the resume; verify on the phone screen.,false,2026-08-10T17:09:00.000Z
48,52,Outside the service area with no plans to relocate.,false,2026-08-10T17:18:00.000Z
49,53,Applied for an office role; this posting is in-home care.,false,2026-08-10T21:01:00.000Z
50,48,In-person interview booked at the office.,false,2026-08-11T16:43:04.000Z
