id,applicant_id,type,detail_json,actor,created_at
1,1,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-21T13:10:00.000Z
2,2,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-06-21T14:04:00.000Z
3,3,APPLICATION_CREATED,"{""source"":""MANUAL""}",,2026-06-21T21:04:00.000Z
4,4,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-06-21T21:15:00.000Z
5,3,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-06-22T13:26:00.000Z
6,2,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-06-22T15:05:00.000Z
7,4,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-06-22T17:53:00.000Z
8,5,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-06-22T20:05:00.000Z
9,3,CALL_LOGGED,"{""callLogId"":""1""}",Luis Ortega,2026-06-22T20:16:00.000Z
10,5,NOTE_ADDED,"{""noteId"":""1""}",Dana Whitfield,2026-06-23T13:16:00.000Z
11,6,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-23T15:09:00.000Z
12,7,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-23T15:23:00.000Z
13,3,CALL_LOGGED,"{""callLogId"":""2""}",Luis Ortega,2026-06-23T19:01:00.000Z
14,1,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-06-23T19:16:00.000Z
15,1,NOTE_ADDED,"{""noteId"":""2""}",Dana Whitfield,2026-06-23T19:19:00.000Z
16,5,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Dana Whitfield,2026-06-24T13:04:00.000Z
17,3,CALL_LOGGED,"{""callLogId"":""3""}",Luis Ortega,2026-06-24T13:33:00.000Z
18,3,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-06-24T13:53:08.000Z
19,6,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Dana Whitfield,2026-06-25T15:08:00.000Z
20,6,CALL_LOGGED,"{""callLogId"":""4""}",Dana Whitfield,2026-06-25T19:10:00.000Z
21,3,CALL_LOGGED,"{""callLogId"":""5""}",Luis Ortega,2026-06-25T20:03:00.000Z
22,7,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-06-25T20:20:00.000Z
23,6,CALL_LOGGED,"{""callLogId"":""6""}",Dana Whitfield,2026-06-26T15:18:00.000Z
24,8,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-06-26T15:21:00.000Z
25,3,CALL_LOGGED,"{""callLogId"":""7""}",Luis Ortega,2026-06-26T16:30:00.000Z
26,3,STATUS_CHANGED,"{""from"":""Phone screen"",""to"":""Interview"",""fromStatusId"":""3"",""toStatusId"":""4""}",Luis Ortega,2026-06-26T16:36:57.000Z
27,7,CALL_LOGGED,"{""callLogId"":""8""}",Luis Ortega,2026-06-26T18:58:00.000Z
28,9,APPLICATION_CREATED,"{""source"":""EMAIL""}",,2026-06-26T20:40:00.000Z
29,10,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-27T12:19:00.000Z
30,11,APPLICATION_CREATED,"{""source"":""MANUAL""}",,2026-06-27T19:01:00.000Z
31,12,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-28T11:53:00.000Z
32,11,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Dana Whitfield,2026-06-29T14:46:00.000Z
33,3,CALL_LOGGED,"{""callLogId"":""9""}",Luis Ortega,2026-06-29T16:23:00.000Z
34,3,STATUS_CHANGED,"{""from"":""Interview"",""to"":""Offer"",""fromStatusId"":""4"",""toStatusId"":""5""}",Luis Ortega,2026-06-29T16:38:05.000Z
35,8,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-06-29T16:49:00.000Z
36,8,NOTE_ADDED,"{""noteId"":""3""}",Luis Ortega,2026-06-29T16:54:00.000Z
37,9,STATUS_CHANGED,"{""from"":""New"",""to"":""Screening"",""fromStatusId"":""1"",""toStatusId"":""2""}",Luis Ortega,2026-06-29T17:10:00.000Z
38,9,NOTE_ADDED,"{""noteId"":""4""}",Luis Ortega,2026-06-29T17:11:00.000Z
39,13,APPLICATION_CREATED,"{""source"":""APPLY_FORM""}",,2026-06-29T17:19:00.000Z
40,13,NOTE_ADDED,"{""noteId"":""5""}",Luis Ortega,2026-06-29T17:37:00.000Z
41,8,CALL_LOGGED,"{""callLogId"":""10""}",Luis Ortega,2026-06-29T17:38:00.000Z
42,12,STATUS_CHANGED,"{""from"":""New"",""to"":""Rejected"",""fromStatusId"":""1"",""toStatusId"":""7""}",Luis Ortega,2026-06-29T17:40:00.000Z
43,12,NOTE_ADDED,"{""noteId"":""6""}",Luis Ortega,2026-06-29T17:44:00.000Z
44,6,CALL_LOGGED,"{""callLogId"":""11""}",Dana Whitfield,2026-06-29T17:56:00.000Z
45,8,CALL_LOGGED,"{""callLogId"":""12""}",Luis Ortega,2026-06-29T18:54:00.000Z
46,8,STATUS_CHANGED,"{""from"":""Screening"",""to"":""Phone screen"",""fromStatusId"":""2"",""toStatusId"":""3""}",Luis Ortega,2026-06-29T19:06:59.000Z
